Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:48:82:dc,2025-12-01 20:25:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2003,Evolve M2
38:e1:f4:48:92:35,2025-12-01 20:25:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1030,Evolve M2
18:0c:7a:8a:87:55,2025-12-01 20:25:50,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1042 B1,Evolve M2
38:e1:f4:48:db:93,2025-12-01 20:25:46,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1015,Evolve M2
8c:9a:8f:d9:eb:e7,2025-12-01 20:25:46,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1056 B2,Evolve M2
38:e1:f4:48:91:42,2025-12-01 20:25:44,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1033,Evolve M2
38:e1:f4:48:db:ba,2025-12-01 20:25:43,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1070,Evolve M2
38:e1:f4:48:da:f9,2025-12-01 20:25:43,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2016,Evolve M2
38:e1:f4:48:db:1d,2025-12-01 20:25:36,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1084 B2,Evolve M2
38:e1:f4:48:8d:57,2025-12-01 20:25:34,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1004 B2,Evolve M2
38:e1:f4:48:db:ae,2025-12-01 20:25:33,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1073 B2,Evolve M2
38:e1:f4:48:81:6f,2025-12-01 20:25:31,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2012 B2,Evolve M2
38:e1:f4:48:83:31,2025-12-01 20:25:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1062 B2,Evolve M2
38:e1:f4:48:92:6b,2025-12-01 20:25:28,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1032 B1,Evolve M2
38:e1:f4:48:83:6c,2025-12-01 20:25:28,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2013 B1,Evolve M2
