icx_label,ethernet_mac,wifi_mac_derived,last_seen_icx,days_since,mdns_label,mdns_mac,mdns_ip,mdns_note,labeling_correction,source,room,site,lockout,reswept,reswept_at
1103A@B,10:2b:aa:50:33:ee,10:2b:aa:50:33:ef,2026-08-07 09:11:12,0.0,1103A@B,10:2b:aa:50:33:ef,192.168.203.212,,,iCX,1103A,MVM784,1103,yes,2026-07-31T17:08:25.259Z
1103A@L,10:2b:aa:50:2c:cb,10:2b:aa:50:2c:cc,2026-08-07 09:12:10,0.0,1103A@L,10:2b:aa:50:2c:cc,192.168.202.193,,,iCX,1103A,MVM784,1103,yes,2026-07-31T17:08:25.259Z
1103B@B,10:2b:aa:50:2c:83,10:2b:aa:50:2c:84,2026-08-07 09:07:30,0.01,1103B@B,10:2b:aa:50:2c:84,192.168.203.124,,,iCX,1103B,MVM784,1103,yes,2026-08-01T15:23:21.476Z
1103B@L,10:2b:aa:50:3f:22,10:2b:aa:50:3f:23,2026-08-07 09:06:48,0.01,1103B@L,10:2b:aa:50:3f:23,192.168.201.219,,,iCX,1103B,MVM784,1103,yes,2026-08-01T15:23:21.476Z
1104A@B,10:2b:aa:50:2d:3a,10:2b:aa:50:2d:3b,2026-08-07 09:06:57,0.01,1104A@B,10:2b:aa:50:2d:3b,192.168.200.194,,,iCX,1104A,MVM784,1104,yes,2026-08-01T18:46:31.697Z
1104A@L,10:2b:aa:50:90:6a,10:2b:aa:50:90:6b,2026-08-07 09:01:56,0.01,1104A@L,10:2b:aa:50:90:6b,192.168.203.42,,,iCX,1104A,MVM784,1104,yes,2026-08-01T18:46:31.697Z
1104B@B,10:2b:aa:50:90:ac,10:2b:aa:50:90:ad,2026-08-07 09:02:42,0.01,1104B@B,10:2b:aa:50:90:ad,192.168.203.115,,,iCX,1104B,MVM784,1104,yes,2026-08-01T18:43:10.974Z
1104B@L,10:2b:aa:50:91:d2,10:2b:aa:50:91:d3,2026-08-07 09:05:05,0.01,1104B@L,10:2b:aa:50:91:d3,192.168.200.146,,,iCX,1104B,MVM784,1104,yes,2026-08-01T18:43:10.974Z
1105A@B,10:2b:aa:51:eb:33,10:2b:aa:51:eb:34,2026-08-07 09:04:23,0.01,1105A@B,10:2b:aa:51:eb:34,192.168.200.203,,,iCX,1105A,MVM784,1105,yes,2026-08-01T18:55:23.965Z
1105A@L,10:2b:aa:51:ea:cd,10:2b:aa:51:ea:ce,2026-08-07 09:00:07,0.01,1105A@L,10:2b:aa:51:ea:ce,192.168.202.117,,,iCX,1105A,MVM784,1105,yes,2026-08-01T18:55:23.965Z
1105B@B,10:2b:aa:50:04:3f,10:2b:aa:50:04:40,2026-08-07 09:04:32,0.01,1105B@B,10:2b:aa:50:04:40,192.168.200.218,,,iCX,1105B,MVM784,1105,yes,2026-08-01T18:51:55.869Z
1105B@L,10:2b:aa:50:37:ae,10:2b:aa:50:37:af,2026-08-07 09:02:49,0.01,1105B@L,10:2b:aa:50:37:af,192.168.200.208,,,iCX,1105B,MVM784,1105,yes,2026-08-01T18:51:55.869Z
,,,,,1105B,66:28:6d:4c:a6:a9,192.168.202.67,Stale MAC (randomized),,mDNS only,1105B,MVM784,1105,yes,2026-08-01T18:51:55.869Z
1106A@B,10:2b:aa:50:2f:0e,10:2b:aa:50:2f:0f,2026-08-07 09:14:24,0.0,1106A@B,10:2b:aa:50:2f:0f,192.168.203.217,,,iCX,1106A,MVM784,1106,yes,2026-08-01T19:03:33.830Z
1106A@L,10:2b:aa:50:2f:5c,10:2b:aa:50:2f:5d,2026-08-07 09:05:18,0.01,1106A@L,10:2b:aa:50:2f:5d,192.168.202.54,,,iCX,1106A,MVM784,1106,yes,2026-08-01T19:03:33.830Z
1106B@B,10:2b:aa:50:30:4f,10:2b:aa:50:30:50,2026-08-07 09:07:03,0.01,1106B@B,10:2b:aa:50:30:50,192.168.200.155,,,iCX,1106B,MVM784,1106,yes,2026-07-31T17:08:52.183Z
1106B@L,10:2b:aa:50:2e:e4,10:2b:aa:50:2e:e5,2026-08-07 09:05:32,0.01,1106B@L,10:2b:aa:50:2e:e5,192.168.203.229,,,iCX,1106B,MVM784,1106,yes,2026-07-31T17:08:52.183Z
,,,,,1106A,52:1b:1a:77:ca:e0,192.168.203.208,Stale MAC (randomized),,mDNS only,1106A,MVM784,1106,yes,2026-08-01T19:03:33.830Z
1107A@L,10:2b:aa:50:32:e9,10:2b:aa:50:32:ea,2026-08-07 09:05:07,0.01,1107A@L,10:2b:aa:50:32:ea,192.168.200.248,,,iCX,1107A,MVM784,1107,yes,2026-07-31T17:01:33.904Z
1107B@B,10:2b:aa:50:04:45,10:2b:aa:50:04:46,2026-08-07 09:09:44,0.0,1107B@B,10:2b:aa:50:04:46,192.168.203.131,,,iCX,1107B,MVM784,1107,yes,2026-08-01T19:08:01.116Z
1107B@L,10:2b:aa:50:2e:c6,10:2b:aa:50:2e:c7,2026-08-07 09:05:30,0.01,1107B@L,10:2b:aa:50:2e:c7,192.168.200.70,,,iCX,1107B,MVM784,1107,yes,2026-08-01T19:08:01.116Z
,,,,,1107A@B,10:2b:aa:50:37:fd,192.168.200.249,"In mDNS, no iCX box",,mDNS only,1107A,MVM784,1107,yes,2026-07-31T17:01:33.904Z
1108A@B,10:2b:aa:4f:fc:ec,10:2b:aa:4f:fc:ed,2026-08-07 09:03:53,0.01,1108A@B,10:2b:aa:4f:fc:ed,192.168.200.252,,,iCX,1108A,MVM784,1108,yes,2026-08-01T19:14:06.444Z
1108A@L,10:2b:aa:50:04:0c,10:2b:aa:50:04:0d,2026-08-07 09:02:11,0.01,1108A@L,10:2b:aa:50:04:0d,192.168.203.51,,,iCX,1108A,MVM784,1108,yes,2026-08-01T19:14:06.444Z
1108B@B,10:2b:aa:50:37:90,10:2b:aa:50:37:91,2026-08-07 09:12:39,0.0,1108B@B,10:2b:aa:50:37:91,192.168.200.219,,,iCX,1108B,MVM784,1108,yes,2026-08-01T19:11:16.565Z
1108B@L,10:2b:aa:50:04:a2,10:2b:aa:50:04:a3,2026-08-07 09:06:39,0.01,1108B@L,10:2b:aa:50:04:a3,192.168.201.158,,,iCX,1108B,MVM784,1108,yes,2026-08-01T19:11:16.565Z
1109A@B,10:2b:aa:50:3c:b2,10:2b:aa:50:3c:b3,2026-08-07 09:08:59,0.0,,,,Not in mDNS,,iCX,1109A,MVM784,1109,yes,2026-07-31T17:17:12.440Z
1109A@L,10:2b:aa:50:2b:c3,10:2b:aa:50:2b:c4,2026-08-07 09:00:21,0.01,1109A@L,10:2b:aa:50:2b:c4,192.168.200.22,,,iCX,1109A,MVM784,1109,yes,2026-07-31T17:17:12.440Z
1109B@B,10:2b:aa:50:2e:30,10:2b:aa:50:2e:31,2026-08-07 09:00:20,0.01,1109B@B,10:2b:aa:50:2e:31,192.168.200.94,,,iCX,1109B,MVM784,1109,yes,2026-07-30T17:36:46.325Z
1109B@L,10:2b:aa:50:33:d0,10:2b:aa:50:33:d1,2026-08-07 09:11:59,0.0,1109B@L,10:2b:aa:50:33:d1,192.168.202.135,,,iCX,1109B,MVM784,1109,yes,2026-07-30T17:36:46.325Z
1110A@B,10:2b:aa:50:04:8d,10:2b:aa:50:04:8e,2026-08-07 09:03:58,0.01,1110A@B,10:2b:aa:50:04:8e,192.168.203.10,,,iCX,1110A,MVM784,1110,yes,2026-07-31T17:04:13.688Z
1110A@L,10:2b:aa:50:03:dc,10:2b:aa:50:03:dd,2026-08-07 09:00:40,0.01,1110A@L,10:2b:aa:50:03:dd,192.168.203.99,,,iCX,1110A,MVM784,1110,yes,2026-07-31T17:04:13.688Z
1110B@B,10:2b:aa:50:04:c9,10:2b:aa:50:04:ca,2026-08-07 09:03:21,0.01,1110B@B,10:2b:aa:50:04:ca,192.168.201.35,,,iCX,1110B,MVM784,1110,yes,2026-08-02T17:34:15.603Z
1110B@L,10:2b:aa:50:04:b1,10:2b:aa:50:04:b2,2026-08-07 09:07:58,0.0,1110B@L,10:2b:aa:50:04:b2,192.168.201.0,,,iCX,1110B,MVM784,1110,yes,2026-08-02T17:34:15.603Z
1111A@B,10:2b:aa:50:32:ce,10:2b:aa:50:32:cf,2026-08-07 09:00:03,0.01,1111A@B,10:2b:aa:50:32:cf,192.168.203.170,,,iCX,1111A,MVM784,1111,yes,2026-07-31T17:08:45.584Z
1111A@L,10:2b:aa:50:04:99,10:2b:aa:50:04:9a,2026-08-07 09:11:48,0.0,1111A@L,10:2b:aa:50:04:9a,192.168.201.181,,,iCX,1111A,MVM784,1111,yes,2026-07-31T17:08:45.584Z
