mac,room,ip,stb_id,mac_is_randomized
76:e4:de:59:61:c6,16,192.168.213.171,474102,True
e2:77:b1:f9:dd:d1,1036,192.168.212.186,474104,True
62:39:af:aa:93:f7,2037,192.168.212.135,474106,True
0a:08:ce:e6:f2:51,2012,192.168.212.136,474107,True
38:e1:f4:49:84:9a,2056@B1,192.168.213.129,474109,False
38:e1:f4:48:db:0f,1086@B1,192.168.213.43,474110,False
38:e1:f4:49:61:a5,1013@B2,192.168.212.108,474112,False
ca:0b:06:f1:a3:61,2009,192.168.212.225,474113,True
2a:fc:e8:52:71:05,1010,192.168.212.148,474115,True
38:e1:f4:48:83:6a,2010 B2,192.168.212.146,474116,False
38:e1:f4:49:84:ac,2057,192.168.212.143,474117,False
be:75:4f:9b:cf:fc,2005,192.168.212.126,474118,True
c6:27:33:07:db:46,2073,192.168.212.57,474119,True
9a:fe:86:e4:fe:79,1009,192.168.212.59,474120,True
9e:ed:14:b8:64:26,1087,192.168.212.16,474121,True
26:c5:41:e2:d9:0b,2011,192.168.212.39,474122,True
ae:36:0f:12:7b:c3,2083,192.168.212.56,474123,True
26:fb:e0:6a:32:c6,1079,192.168.212.60,474124,True
7e:f7:18:d2:b3:4f,1056,192.168.212.63,474125,True
da:bb:83:2a:17:ef,2080,192.168.212.122,474126,True
18:0c:7a:8a:89:51,1021@B1,192.168.212.119,474127,False
d6:73:de:59:b0:4a,1033,192.168.213.161,474130,True
92:63:5e:18:a9:54,2017,192.168.212.230,474131,True
7e:6a:19:42:96:76,2026,192.168.212.69,474133,True
76:88:b2:19:2b:01,2013,192.168.212.104,474134,True
38:e1:f4:48:dd:ab,1008,192.168.212.94,474135,False
52:9c:80:fc:05:b2,2032,192.168.212.64,474136,True
